language,crawl_date,0
ca,20200327,57
ca,20200328,133
ca,20200329,83
ca,20200330,164
ca,20200331,112
ca,20200401,35
ca,20200402,92
ca,20200403,87
ca,20200404,282
ca,20200405,47
ca,20200406,12
ca,20200407,57
ca,20200408,107
ca,20200409,232
ca,20200410,469
ca,20200411,611
ca,20200412,242
ca,20200413,132
ca,20200414,105
ca,20200415,57
ca,20200416,27
ca,20200417,28
ca,20200418,89
ca,20200419,170
ca,20200420,169
ca,20200421,61
ca,20200422,36
ca,20200423,40
ca,20200424,221
ca,20200425,90
ca,20200426,32
ca,20200429,93
ca,20200430,25
ca,20200501,31
ca,20200502,93
ca,20200503,63
ca,20200504,17
ca,20200505,22
ca,20200506,40
ca,20200507,45
ca,20200508,35
ca,20200509,88
ca,20200510,80
ca,20200511,131
ca,20200512,108
ca,20200513,30
ca,20200515,32
ca,20200516,138
ca,20200517,27
ca,20200518,10
ca,20200522,55
ca,20200523,36
ca,20200525,1
ca,20200526,110
ca,20200529,23
ca,20200602,1
ca,20200604,1
ca,20200607,4
ca,20200609,1
ca,20200612,26
ca,20200613,16
ca,20200614,1
ca,20200616,1
ca,20200617,36
ca,20200618,13
ca,20200622,1
ca,20200624,14
ca,20200625,19
ca,20200626,2
ca,20200706,12
ca,20200707,6
ca,20200708,1
ca,20200714,3
ca,20200715,3
ca,20200717,19
ca,20200718,2
ca,20200720,1
ca,20200721,6
ca,20200722,6
ca,20200723,40
ca,20200724,61
ca,20200725,25
ca,20200726,1
ca,20200727,6
ca,20200728,252
ca,20200729,1
ca,20200805,6
ca,20200806,154
ca,20200807,4
ca,20200810,57
ca,20200811,18
ca,20200824,37
ca,20200825,23
ca,20200907,32
ca,20200923,43
ca,20200925,8
ca,20201001,1
ca,20201002,20
ca,20201003,95
ca,20201007,3
ca,20201008,5
ca,20201009,2
ca,20201015,1
ca,20201016,3
ca,20201017,2
ca,20201021,11
ca,20201023,96
ca,20201024,125
ca,20201026,3
ca,20201027,130
ca,20201028,2
ca,20201104,26
ca,20201105,186
ca,20201116,28
ca,20201117,49
ca,20201118,3017
ca,20201119,634
ca,20201123,10
ca,20201124,47
ca,20201130,2
ca,20201202,5
ca,20201211,1
ca,20201216,25
ca,20201217,17
ca,20201218,37
ca,20201219,187
ca,20201220,22
ca,20201221,15
ca,20201222,107
ca,20201223,6
ca,20201224,6
ca,20210113,3
ca,20210114,8
ca,20210129,25
ca,20210130,84
ca,20210131,32
ca,20210203,2
ca,20210215,13
ca,20210216,28
ca,20210217,892
ca,20210218,829
ca,20210223,17
ca,20210225,42
ca,20210226,18
ca,20210301,3
ca,20210305,11
ca,20210306,57
ca,20210308,12
ca,20210309,149
ca,20210310,118
ca,20210311,318
ca,20210315,2
ca,20210319,29
ca,20210320,78
ca,20210402,14
ca,20210403,47
ca,20210412,12
ca,20210413,76
ca,20210414,57
ca,20210415,19
ca,20210422,186
ca,20210423,396
ca,20210424,129
ca,20210516,48
ca,20210517,54
ca,20210518,1
ca,20210528,48
ca,20210620,385
ca,20210621,197
ca,20210701,6
ca,20210702,11
ca,20210703,2
ca,20210704,9
ca,20210705,1
ca,20210712,1
ca,20210716,39
ca,20210717,1
ca,20210730,2
cs,20200221,269
cs,20200222,958
cs,20200223,655
cs,20200224,1007
cs,20200225,906
cs,20200226,673
cs,20200305,918
cs,20200306,1416
cs,20200307,345
cs,20200309,31
cs,20200310,93
cs,20200314,413
cs,20200315,1067
cs,20200316,155
cs,20200317,176
cs,20200319,56
cs,20200320,237
cs,20200321,976
cs,20200322,752
cs,20200323,943
cs,20200324,1400
cs,20200325,948
cs,20200326,158
cs,20200327,210
cs,20200328,3944
cs,20200329,2362
cs,20200330,5185
cs,20200331,191
cs,20200401,2
cs,20200402,39
cs,20200403,37
cs,20200404,176
cs,20200405,86
cs,20200406,14
cs,20200407,67
cs,20200408,273
cs,20200409,3242
cs,20200410,2118
cs,20200411,299
cs,20200412,130
cs,20200413,120
cs,20200414,116
cs,20200415,27
cs,20200416,25
cs,20200417,74
cs,20200418,22
cs,20200419,61
cs,20200420,180
cs,20200421,42
cs,20200422,16
cs,20200423,35
cs,20200424,157
cs,20200425,77
cs,20200426,34
cs,20200427,2
cs,20200429,8
cs,20200430,20
cs,20200501,23
cs,20200502,70
cs,20200503,36
cs,20200504,3
cs,20200505,440
cs,20200506,40
cs,20200507,43
cs,20200508,15
cs,20200509,72
cs,20200510,80
cs,20200511,117
cs,20200512,105
cs,20200513,28
cs,20200514,4
cs,20200515,12
cs,20200516,6
cs,20200518,2
cs,20200522,5
cs,20200523,7
cs,20200526,85
cs,20200529,1
cs,20200611,1
cs,20200616,1
cs,20200617,18
cs,20200618,11
cs,20200620,1
cs,20200622,1
cs,20200624,8
cs,20200708,1
cs,20200714,59
cs,20200715,222
cs,20200717,4
cs,20200718,1
cs,20200720,1
cs,20200722,55
cs,20200723,1287
cs,20200724,759
cs,20200725,658
cs,20200726,786
cs,20200727,853
cs,20200728,3
cs,20200729,4
cs,20200805,143
cs,20200806,79
cs,20200807,22
cs,20200808,31
cs,20200810,9
cs,20200811,3
cs,20200813,2
cs,20200814,18
cs,20200815,161
cs,20200824,48
cs,20200825,30
cs,20200901,1
cs,20200907,3
cs,20200908,15
cs,20200923,20
cs,20200925,8
cs,20201008,4
cs,20201009,2
cs,20201015,1
cs,20201016,7
cs,20201017,4
cs,20201021,1
cs,20201023,7
cs,20201024,5
cs,20201026,9
cs,20201027,302
cs,20201028,7
cs,20201105,2
cs,20201116,4
cs,20201117,1
cs,20201118,1
cs,20201124,3
cs,20201130,6
cs,20201202,44
cs,20201203,24
cs,20201216,1
cs,20201218,22
cs,20201219,341
cs,20201221,138
cs,20201222,149
cs,20201223,25
cs,20201224,3
cs,20210114,1
cs,20210129,270
cs,20210130,210
cs,20210131,30
cs,20210203,2
cs,20210204,4
cs,20210205,2
cs,20210215,9
cs,20210216,24
cs,20210225,2
cs,20210226,1
cs,20210301,3
cs,20210305,21
cs,20210306,1523
cs,20210308,343
cs,20210309,2325
cs,20210310,115
cs,20210315,1
cs,20210316,3
cs,20210319,2088
cs,20210320,1847
cs,20210402,21
cs,20210406,1
cs,20210412,139
cs,20210413,402
cs,20210414,100
cs,20210415,35
cs,20210422,15
cs,20210423,52
cs,20210424,53
cs,20210516,5
cs,20210517,1
cs,20210518,1
cs,20210620,1
cs,20210701,211
cs,20210702,910
cs,20210712,1
cs,20210716,2
cs,20210717,1
cs,20210804,3
cy,20200221,158
cy,20200222,168
cy,20200223,20
cy,20200224,14
cy,20200225,3
cy,20200226,81
cy,20200305,16
cy,20200306,29
cy,20200307,1
cy,20200310,10
cy,20200314,15
cy,20200315,150
cy,20200316,51
cy,20200317,67
cy,20200318,3
cy,20200319,18
cy,20200320,29
cy,20200321,65
cy,20200322,42
cy,20200323,33
cy,20200324,141
cy,20200325,154
cy,20200326,5
cy,20200327,45
cy,20200328,57
cy,20200329,41
cy,20200330,49
cy,20200331,99
cy,20200401,3
cy,20200402,11
cy,20200403,36
cy,20200404,71
cy,20200405,12
cy,20200406,6
cy,20200407,47
cy,20200408,168
cy,20200409,106
cy,20200410,166
cy,20200411,175
cy,20200412,123
cy,20200413,53
cy,20200414,60
cy,20200415,10
cy,20200416,12
cy,20200417,28
cy,20200418,5
cy,20200419,23
cy,20200420,7
cy,20200421,154
cy,20200422,144
cy,20200423,7
cy,20200424,23
cy,20200425,8
cy,20200429,20
cy,20200430,6
cy,20200501,26
cy,20200502,28
cy,20200503,1
